Timepoint (hours),ROI Type,Min,Max,Mean,Median,Std Dev,Range,Pixel Count
0,sunscreen,10.00,81.00,23.45,24.00,3.58,71.00,115600
0,control,36.00,111.00,66.69,67.00,7.02,75.00,126820
2,sunscreen,12.00,81.00,26.68,27.00,3.55,69.00,115600
2,control,38.00,115.00,68.03,68.00,7.28,77.00,126820
4,sunscreen,8.00,89.00,22.22,22.00,4.20,81.00,115600
4,control,22.00,115.00,64.61,66.00,10.04,93.00,126820
6,sunscreen,10.00,87.00,23.09,23.00,3.85,77.00,115600
6,control,37.00,110.00,66.53,67.00,6.76,73.00,126820
